#,ELO,Player,Clan,Streak,Percent,Games,Last game
"1,230","1,246",Shaolincube,GARCH,3,52.58%,213,4/23/2026
"1,231","1,245",nicon327,"'-",4,52.54%,295,4/23/2026
"1,232","1,245",AoLiGe,"'-","'-1",52.61%,249,4/18/2026
"1,233","1,245",Jaime9566245,KMOTE,1,50.76%,991,5/10/2026
"1,234","1,245",ImmortalJudge,AoWr,1,53.16%,237,5/9/2026
"1,235","1,245",Legião,SLVA,"'-1",60.32%,63,5/1/2026
"1,236","1,244",Spudlock Of Empires,"'-","'-1",54.40%,193,5/8/2026
"1,237","1,244",weihanjiang0229,"'-",3,50.39%,"1,536",5/10/2026
"1,238","1,244",汉堡王,"'-",9,68.42%,38,4/15/2026
"1,239","1,244",YiyoSW,"'-","'-3",51.32%,682,4/25/2026
"1,240","1,244",Red Comet,"'-","'-1",51.83%,328,5/4/2026
"1,241","1,244",dustin888poker,"'-",2,50.31%,"2,459",5/9/2026
"1,242","1,244",Razor,"'-","'-3",51.45%,"1,277",5/10/2026
"1,243","1,243",Agonius,"'-","'-4",50.98%,610,5/3/2026
"1,244","1,243",edyb0806,ałƒa,"'-2",51.00%,"1,443",4/29/2026
"1,245","1,242",PPPrice,"'-",3,52.17%,92,5/10/2026
"1,246","1,242",NorYou,HvNy,"'-2",51.65%,484,4/26/2026
"1,247","1,242",Skelebro,SNBRO,2,50.43%,"1,624",4/26/2026
"1,248","1,241",Lewa,"'-",2,50.66%,"1,145",5/8/2026
"1,249","1,241",riveldon TQP,DRCST,"'-1",65.79%,38,5/8/2026
"1,250","1,241",CHOPPA DAVE,"'-","'-2",50.72%,"1,175",4/13/2026
"1,251","1,240",hibiki850723,"'-",3,49.85%,335,4/28/2026
"1,252","1,240",tianhuo,萌新之家,"'-3",51.01%,494,5/5/2026
"1,253","1,240",<color=0/0/2>本本,全民SM,1,50.69%,947,4/21/2026
"1,254","1,240",Slim Shady,PIRO,"'-1",51.83%,"1,067",5/7/2026
"1,255","1,240",Tuo,"'-","'-1",50.73%,"1,293",5/9/2026
"1,256","1,240",DiCo,"'-",5,50.00%,104,4/19/2026
"1,257","1,239",Mozartimus,"'-",1,50.37%,"1,334",4/25/2026
"1,258","1,239",wgrwyxwhy,"'-",2,49.93%,"1,432",5/10/2026
"1,259","1,239",Tricky,"'-",3,50.95%,893,5/10/2026
"1,260","1,239",Greenfielspijk,"'-","'-1",50.51%,"1,275",4/12/2026
"1,261","1,239",LIEUTENANT,TÜRKo,"'-3",52.63%,190,5/7/2026
"1,262","1,238",Annie leonhart,"'-","'-2",53.93%,178,5/7/2026
"1,263","1,238",longi33,LpWG,2,50.76%,"1,444",5/9/2026
"1,264","1,237",Big Deborah,ILoC,"'-1",50.44%,456,5/4/2026
"1,265","1,237",mcfarsii,"'-",1,50.52%,"2,124",5/10/2026
"1,266","1,237",lonecouri3r,"'-",2,50.19%,"2,646",5/10/2026
"1,267","1,237",FVC20000,"'-",3,53.33%,135,5/10/2026
"1,268","1,237",The Champ,AMSAR,"'-4",50.39%,"1,411",5/10/2026
"1,269","1,237",Hunter Zolomon,CHIMÚ,1,51.35%,705,5/9/2026
"1,270","1,237",andreroyale,"'-",3,52.42%,227,5/3/2026
"1,271","1,237",Eibelamm198,FoTs,"'-2",52.05%,292,4/23/2026
"1,272","1,237",cezaremanuel.1990,"'-",1,50.25%,"3,156",5/7/2026
"1,273","1,236",[X] Goianinho,"'-","'-2",50.63%,"2,842",5/9/2026
"1,274","1,235",erayturemiss,"'-",2,50.34%,"1,478",4/25/2026
"1,275","1,235",henninghartmann,"'-","'-2",50.81%,124,5/9/2026
"1,276","1,235",usuario967,"'-","'-4",51.07%,746,5/10/2026
"1,277","1,235",Redcry,"'-","'-2",50.09%,"8,805",5/10/2026
"1,278","1,234",Po Carvalh,A0E3,1,55.91%,93,5/10/2026
"1,279","1,234",camilo1901,"'-",2,53.77%,212,5/8/2026
"1,280","1,234",Seekjaer,"'-",3,50.26%,577,4/24/2026
"1,281","1,234",Menzek | DELULUluxe,TTT2,"'-3",55.21%,96,5/8/2026
"1,282","1,233",ŞAMPİYONHAMZA,"'-","'-1",50.00%,612,5/10/2026
"1,283","1,233",Dvd,"'-","'-4",50.12%,"9,448",5/8/2026
"1,284","1,233",糖拌甘蔗,小星星,"'-5",52.65%,302,4/23/2026
"1,285","1,233",Haanibal,"'-","'-4",49.23%,"1,690",5/7/2026
"1,286","1,232",Waskeen,"'-",1,55.46%,119,5/6/2026
"1,287","1,232",犹大大不大,"'-",1,51.52%,33,4/23/2026
"1,288","1,232",blank,"'-",1,50.35%,"1,414",5/9/2026
"1,289","1,232",pedrq7,UNIBR,1,51.08%,650,5/5/2026
"1,290","1,232",Ribbon52,"'-",5,51.11%,45,5/7/2026
"1,291","1,232",KindaCat,"'-","'-1",50.51%,"2,845",5/10/2026
"1,292","1,232",MarceleZa,"'-",1,51.36%,405,5/10/2026
"1,293","1,231",Lakhotas,"'-",3,51.45%,379,4/23/2026
"1,294","1,231",qiuku,"'-","'-3",57.14%,119,5/9/2026
"1,295","1,231",RubenJH78,TEMES,1,53.71%,350,5/8/2026
"1,296","1,230",Hui,台灣囝,"'-1",54.32%,81,4/20/2026
"1,297","1,230",wild god,AoWr,3,53.27%,199,5/10/2026
"1,298","1,229",Xiroxio,ArC,2,50.13%,"8,698",4/23/2026
"1,299","1,229",pfanne_sicheln0n,"'-","'-1",50.43%,460,5/3/2026
"1,300","1,229",ElMacahuitl,GIAHS,2,50.73%,"1,366",5/1/2026
"1,301","1,229",SnipingForDummies,"'-","'-1",51.36%,440,5/10/2026
"1,302","1,229",Thats Gold Jerry,T2024,4,50.24%,"4,202",5/8/2026
"1,303","1,228",Mayor_Mongeau,"'-","'-3",50.15%,"3,033",5/8/2026
"1,304","1,228",Triarii416,"'-","'-2",51.09%,184,5/2/2026
"1,305","1,228",MonoErotico,TremC,2,51.56%,450,5/10/2026
"1,306","1,227",anton.dorst,"'-",1,51.01%,643,4/30/2026
"1,307","1,227",Alta Borealis,"'-",1,50.07%,677,5/10/2026
"1,308","1,226",T.BLADE,"'-","'-1",52.43%,473,5/9/2026
"1,309","1,226",EDVAN NILSTERROY,UNIBR,4,50.61%,"1,715",5/10/2026
"1,310","1,226",Rocco,"'-",1,52.43%,370,5/10/2026
"1,311","1,226",uygarbosnak1997,"'-",1,50.92%,"1,141",5/8/2026
"1,312","1,226",ipcassiano,6MUSK,1,50.98%,508,4/29/2026
"1,313","1,226",Air_Luo,"'-",2,50.69%,801,5/2/2026
"1,314","1,225",KerKe,R0H4N,"'-1",60.00%,20,4/25/2026
"1,315","1,225",purple_f,"'-",1,52.28%,329,4/18/2026
"1,316","1,225",Terniozo,ARDA,"'-4",54.22%,83,5/9/2026
"1,317","1,225",Kolomox,Lindt,"'-1",60.00%,85,5/2/2026
"1,318","1,225",empereurvivien,"'-","'-3",53.69%,149,4/25/2026
"1,319","1,225",Gandalf007,"'-",1,49.91%,"2,150",5/10/2026
"1,320","1,224",Darth_Raider,"'-","'-2",52.86%,140,5/8/2026
"1,321","1,224",mahdibenfadhel4,"'-","'-1",51.01%,296,5/7/2026
"1,322","1,224",她们都说我很帅,同盟会,1,50.57%,791,5/10/2026
"1,323","1,223",Gimli,PEYRU,1,50.55%,"2,091",5/10/2026
"1,324","1,223",Mirage_BD,IGOK,"'-3",55.00%,120,4/28/2026
"1,325","1,223",MATA THERIANS,"'-",2,54.74%,190,5/9/2026
"1,326","1,223",Selemante,A4E,2,51.02%,635,5/9/2026
"1,327","1,223",星汗泪灿,一DC一,"'-6",50.47%,"1,700",5/2/2026
"1,328","1,223",tombo6636,やらないか,"'-1",60.87%,46,5/2/2026
"1,329","1,223",Elekesro,"'-","'-1",51.34%,561,5/5/2026
"1,330","1,222",morenazo99,"'-","'-4",51.46%,686,5/8/2026
"1,331","1,222",Killianaire,TORT,2,50.05%,"5,395",5/9/2026
"1,332","1,222",bukerdewith,TIGGR,"'-3",50.56%,"1,430",5/9/2026
"1,333","1,222",dionatamlopes,"'-",3,51.14%,874,5/3/2026
"1,334","1,222",LuK@Z,DoMi,1,50.68%,878,4/24/2026
"1,335","1,221",angel.fer.pc12,"'-","'-1",52.52%,318,5/6/2026
"1,336","1,221",T3rr0r_D14m3tr4L,KNOCS,"'-1",50.48%,"1,757",5/7/2026
"1,337","1,221",<color=1/0/0>皮特羊,小星星,4,70.59%,17,4/18/2026
"1,338","1,221",Altairouz,zaba,"'-3",52.38%,336,5/7/2026
"1,339","1,220",JollyRoagaer,"'-",3,50.61%,571,4/20/2026
"1,340","1,220",ashmon,HoA50,"'-3",50.32%,"1,739",5/10/2026
"1,341","1,220",Empire Earth,GSGж,1,51.35%,259,4/25/2026
"1,342","1,220",Inferno,TGAT,"'-1",51.15%,174,5/8/2026
"1,343","1,220",Moto-Moto,"'-","'-1",53.19%,282,5/7/2026
"1,344","1,220",Riconator18,MNKE,2,52.53%,217,5/7/2026
"1,345","1,219",zoro,"'-",1,53.66%,123,5/10/2026
"1,346","1,219",goptek,AMSAR,1,51.23%,"1,101",5/3/2026
"1,347","1,219",SaltyDavy,SEAGG,"'-5",50.60%,"2,071",5/9/2026
"1,348","1,218",なかじま,"'-",1,55.81%,86,4/22/2026
"1,349","1,218",Darcantho,COL,1,50.88%,452,5/7/2026
"1,350","1,218",THYMA,"'-",1,50.30%,"4,394",5/10/2026
"1,351","1,218",Vladers,GDB,6,52.90%,276,5/10/2026
"1,352","1,217",大當家的,"'-","'-1",52.17%,391,5/1/2026
"1,353","1,217",Jabjab,"'-","'-1",51.98%,252,4/29/2026
"1,354","1,217",farkas.raul,"'-","'-2",52.29%,371,4/26/2026
"1,355","1,217",THE SNIFF LORD,"'-",4,52.36%,212,5/10/2026
"1,356","1,217",Pachacuti,"'-","'-1",50.76%,"1,976",4/26/2026
"1,357","1,217",Kreg,RøyaL,6,53.92%,102,4/24/2026
"1,358","1,216",Alpakapucuf,dmgD,1,64.81%,54,5/9/2026
"1,359","1,216",Mo?????,"'-","'-3",49.91%,"3,697",4/21/2026
"1,360","1,216",RegressorLee,"'-",1,50.65%,993,4/17/2026
"1,361","1,216",Felmad,"'-","'-2",52.63%,190,4/27/2026
"1,362","1,215",DantteV,HoA50,"'-2",51.32%,721,4/22/2026
"1,363","1,215",gijs13,"'-",3,56.00%,75,5/9/2026
"1,364","1,215",dudor,"'-",1,58.70%,46,5/9/2026
"1,365","1,215",Tata,"'-",1,54.84%,31,4/25/2026
"1,366","1,215",pauljiggernut,"'-","'-1",57.14%,35,4/21/2026
"1,367","1,215",Okdarnoc,最烦装逼的,"'-2",49.71%,"1,873",5/1/2026
"1,368","1,214",jhonatan1252653,R3VOS,2,58.62%,58,5/9/2026
"1,369","1,214",Abrakadabra,HvNy,2,53.47%,202,4/18/2026
"1,370","1,214",Arnaviskah,NMG,"'-1",53.77%,106,4/27/2026
"1,371","1,213",Cirxus,Wallo,1,50.26%,"1,705",5/7/2026
"1,372","1,213",stephane.petiot,"'-",1,50.41%,740,5/7/2026
"1,373","1,213",九点整,ANGLR,3,52.60%,154,5/9/2026
"1,374","1,213",995458023,"'-","'-3",53.62%,69,5/2/2026
"1,375","1,213",yinyangmaster2,"'-","'-1",51.15%,479,5/8/2026
"1,376","1,213",K'anchay,INTI,2,53.01%,249,5/1/2026
"1,377","1,213",☠DinDjarin☠,KAIZN,"'-1",56.19%,105,5/8/2026
"1,378","1,212",<color=0.7/1/0.4>올때메로나,"'-",1,52.46%,61,4/26/2026
"1,379","1,212",FelipeCrazy246,"'-",4,50.08%,"1,797",5/8/2026
"1,380","1,212",渡边,东京热,"'-2",63.27%,49,4/24/2026
"1,381","1,212",监听员1344,"'-",1,55.56%,81,4/22/2026
"1,382","1,212",IoKeSeLoko,D0DO,1,50.49%,"3,906",4/12/2026
"1,383","1,211",WICMIS,"'-","'-2",66.67%,15,4/19/2026
"1,384","1,211",ku5988,"'-","'-3",49.92%,"3,287",5/8/2026
"1,385","1,211",emiliogomezfernandez9,BOTE1,1,65.00%,20,4/24/2026
"1,386","1,211",P.G.V.V,G4Y4U,1,69.70%,33,4/29/2026
"1,387","1,211",菩提,垃圾会,"'-7",49.76%,"1,053",4/16/2026
"1,388","1,210",Pereira521,"'-","'-2",66.67%,15,5/8/2026
"1,389","1,210",Elva Gina,Labsw,3,50.50%,"2,283",4/13/2026
"1,390","1,210",Saizo Kano,"'-",1,51.49%,404,4/16/2026
"1,391","1,210",SleepEatRepeat,"'-","'-5",50.33%,767,4/17/2026
"1,392","1,210",NewJohku,F1NN,"'-2",51.12%,716,5/1/2026
"1,393","1,210",Nijlen,"'-",1,50.00%,646,5/7/2026
"1,394","1,209",Padishar,"'-","'-1",55.10%,245,5/8/2026
"1,395","1,209",50,"'-","'-1",55.45%,110,5/10/2026
"1,396","1,209",Ozelgas,"'-",3,50.45%,888,5/9/2026
"1,397","1,209",Hertog_Jan,LAMIN,1,50.68%,"1,468",5/10/2026
"1,398","1,208",rypohh22,M33PY,1,54.14%,157,5/4/2026
"1,399","1,208",Eagle,"'-","'-3",48.95%,333,4/21/2026
"1,400","1,208",1679184420,"'-",1,57.14%,119,5/10/2026
"1,401","1,208",寄不想玩了,"'-","'-1",50.92%,868,5/9/2026
"1,402","1,208",samurai1028,A黄埔军校,4,50.92%,544,5/3/2026
"1,403","1,207",LittleNino,JGR,"'-1",50.80%,439,4/29/2026
"1,404","1,207",Toruk Makto,"'-",3,69.23%,13,4/24/2026
"1,405","1,207",qoo9641,"'-",4,55.15%,136,5/5/2026
"1,406","1,207",blade of darkness,NGDZ,"'-8",50.23%,870,4/30/2026
"1,407","1,207",C`Mon,"'-","'-2",52.15%,581,4/21/2026
"1,408","1,207",*♛ General Kenobi ♛*,BTNS,3,53.66%,205,4/26/2026
"1,409","1,206",Hyyrz,"'-","'-1",50.63%,952,4/25/2026
"1,410","1,206",PERSAIN,SETSO,4,50.80%,"1,435",4/21/2026
"1,411","1,206",Comrade Lei Feng,"'-","'-3",59.76%,82,5/9/2026
"1,412","1,205",кек?,"'-",1,51.05%,286,5/5/2026
"1,413","1,205",Juggerknight,"'-","'-3",51.11%,"1,172",4/27/2026
"1,414","1,205",(†) FIREMAN (†),A4G,1,50.30%,"3,145",5/9/2026
"1,415","1,205",panais,A4G,1,50.08%,"1,767",4/16/2026
"1,416","1,204",greg.vandamme,AEVN,"'-3",49.93%,"1,518",4/30/2026
"1,417","1,204",VitaminD,"'-",2,59.42%,69,4/29/2026
"1,418","1,204",JayBo,"'-","'-1",50.41%,"3,755",5/10/2026
"1,419","1,204",Pedro Sebo,IMBR,"'-2",57.89%,19,5/10/2026
"1,420","1,203",black tea,"'-","'-2",50.97%,514,5/10/2026
"1,421","1,203",MaxTheBoxer,BrBul,3,51.89%,582,5/2/2026
"1,422","1,203",MR.M3ZA,AMSAR,3,52.17%,253,5/10/2026
"1,423","1,203",lccacahuete,"'-","'-1",57.14%,70,5/1/2026
"1,424","1,203",Klutcha,"'-",3,52.45%,204,5/9/2026
"1,425","1,202",midgetman,"'-","'-2",50.38%,"1,042",5/9/2026
"1,426","1,202",BeTa,ELKO,"'-1",59.21%,76,4/17/2026
"1,427","1,202",King Matt,"'-","'-3",51.33%,113,5/6/2026
"1,428","1,202",小燕子,AOTDE,1,51.68%,565,5/9/2026
"1,429","1,202",Kosjeco,"'-","'-2",50.86%,409,4/26/2026
"1,430","1,201",ConcernedApe,"'-","'-1",51.14%,264,4/14/2026
"1,431","1,200",Cheesehead,Schik,"'-3",60.98%,41,5/8/2026
"1,432","1,200",Irreale,HASW,"'-1",50.88%,285,4/23/2026
"1,433","1,200",Nayab,"'-",1,60.00%,25,5/8/2026
"1,434","1,200",Augusto Pinochet,RatCO,5,66.67%,42,4/19/2026
"1,435","1,200",Malteze_if_u_Plz,"'-",1,50.20%,"1,480",5/10/2026
"1,436","1,200",CHOIBOI,"'-",1,54.43%,79,4/28/2026
"1,437","1,199",MS_GT,"'-","'-2",50.14%,"3,827",5/9/2026
"1,438","1,199",呵呵~,"'-","'-5",51.14%,614,5/7/2026
"1,439","1,199",Jambus,"'-",3,53.24%,139,5/10/2026
"1,440","1,199",É 13  MEMO,"'-",4,57.02%,121,5/5/2026
"1,441","1,199",its a lake bro,"'-","'-1",65.52%,29,5/8/2026
"1,442","1,199",ANDREYZERA,ABABR,"'-1",54.69%,192,5/9/2026
"1,443","1,199",Panxacontent,"'-",5,51.59%,283,5/4/2026
"1,444","1,199",nachito_daleboca12,"'-",7,51.48%,946,5/9/2026
"1,445","1,198",runner,RPPL,"'-1",50.95%,"1,311",4/20/2026
"1,446","1,198",MatT,"'-",1,57.14%,21,5/8/2026
"1,447","1,198",Fideell,UNIBR,"'-1",51.54%,518,5/8/2026
"1,448","1,198",ArRD2Alma,SpNz,"'-1",54.00%,50,5/10/2026
"1,449","1,197",Alakor60,"'-","'-3",50.66%,527,5/10/2026
"1,450","1,197",洗脚罗汉,全民SM,"'-2",56.14%,57,5/2/2026
"1,451","1,197",藏腻,"'-","'-4",53.25%,246,4/17/2026
"1,452","1,196",DrShepp95,"'-",1,50.88%,511,5/10/2026
"1,453","1,196",Strider's Heir,"'-",3,50.27%,"1,110",5/8/2026
"1,454","1,196",tundra36,"'-","'-4",50.19%,"1,325",4/25/2026
"1,455","1,196",Reliefdough,"'-","'-3",51.02%,"1,174",5/7/2026
"1,456","1,196",a62464,一DC一,1,50.04%,"2,300",5/10/2026
"1,457","1,195",Seezer,ЅТМ,1,50.70%,"1,223",5/10/2026
"1,458","1,195",BR Dedé Carvoeiro,ℜ3ɮ,"'-1",51.87%,482,5/10/2026
"1,459","1,194",Caiofora,"'-",4,66.67%,21,5/6/2026
"1,460","1,194",Dr. Patatin,Mate,"'-1",50.45%,"1,659",5/5/2026
"1,461","1,194",shangogan,"'-",1,50.20%,"5,038",5/10/2026
"1,462","1,194",MiddleAgeMan,"'-",1,52.43%,267,5/7/2026
"1,463","1,194",Veto,"'-",5,52.68%,298,5/10/2026
"1,464","1,193",ariel_leon55,"'-","'-1",50.25%,"2,406",5/9/2026
"1,465","1,193",xMoonstarx7,AoWr,2,57.14%,49,5/10/2026
"1,466","1,193",Esdra,"'-",1,61.11%,18,4/26/2026
"1,467","1,193",Granite 47,"'-",5,50.19%,"2,118",5/9/2026
"1,468","1,193",samuel_lewis14,5skin,1,56.36%,55,5/1/2026
"1,469","1,192",Carneiro,3WW,"'-3",53.67%,313,5/6/2026
"1,470","1,192",El Papu Papu930,"'-",3,56.52%,69,4/17/2026
"1,471","1,192",Gustavo,"'-",1,53.61%,97,5/2/2026
"1,472","1,191",JSH101,ᵡXᵈᵐ,"'-8",57.45%,47,4/24/2026
"1,473","1,191",いなばっと,"'-",6,53.64%,110,5/3/2026
"1,474","1,190",KAIZEN,SAPNS,2,50.92%,601,5/7/2026
"1,475","1,190",Steinar,"'-",3,66.67%,15,4/18/2026
"1,476","1,190",IReadChatIDontType,OBYB,2,52.53%,217,4/27/2026
"1,477","1,190",cañonero,HvNy,"'-3",50.17%,"2,689",5/9/2026
"1,478","1,190",strelet56,PSOE,"'-1",52.46%,61,5/10/2026
"1,479","1,190",细James,WND,2,58.97%,39,4/29/2026
"1,480","1,190",Aldo,LCDLS,"'-2",50.70%,"1,209",5/7/2026
"1,481","1,189",australia_xd,"'-","'-2",50.98%,408,4/26/2026
"1,482","1,189",Tschuschile,TEAM,"'-2",53.03%,379,4/14/2026
"1,483","1,189",Sea raider,jøin,"'-2",52.38%,399,5/4/2026
"1,484","1,189",IamPotatooooo,"'-","'-3",59.18%,49,5/4/2026
"1,485","1,189",Apophis VII,CZECH,1,52.17%,207,4/26/2026
"1,486","1,189",Tsuki no Mito,"'-","'-1",70.00%,10,4/20/2026
"1,487","1,189",yoichiya,"'-",2,54.00%,150,5/2/2026
"1,488","1,188",jdv1998,"'-",3,50.55%,"1,822",5/10/2026
"1,489","1,188",WhiteTiger,"'-",1,51.08%,554,5/7/2026
"1,490","1,187",OldGreg636,AoWr,1,51.52%,132,4/26/2026
"1,491","1,187",President Xi BANZAI,358团,"'-1",52.59%,251,5/10/2026
"1,492","1,186",antho.schmitt,jet,3,72.73%,11,4/22/2026
"1,493","1,186",Fenixchim,"'-","'-5",50.85%,"1,182",5/10/2026
"1,494","1,186",R&M,"'-",4,51.29%,466,5/4/2026
"1,495","1,186",NooBee,"'-","'-2",50.50%,"1,107",5/9/2026
"1,496","1,185",treyisaacs,"'-",3,51.51%,697,5/10/2026
"1,497","1,185",哦哟喂,1uk1,2,49.93%,"21,131",5/10/2026
"1,498","1,185",Batman,"'-","'-1",51.05%,617,5/7/2026
"1,499","1,185",globetotor,"'-","'-1",50.88%,342,5/9/2026
"1,500","1,185",Ibracadabra,"'-",1,50.16%,"4,673",5/9/2026
"1,501","1,185",Sabeir,DG5,6,50.97%,718,5/10/2026
"1,502","1,184",lapeche2024,"'-",2,53.85%,130,5/5/2026
"1,503","1,184",Sir Moisty Capybara,"'-","'-1",51.51%,497,5/10/2026
"1,504","1,184",Colm O'Driscoll,"'-","'-3",53.99%,163,5/10/2026
"1,505","1,184",司马二丫,"'-",2,52.00%,75,4/14/2026
"1,506","1,184",jotakinhan,"'-","'-1",54.69%,309,4/25/2026
"1,507","1,184",6months,"'-",1,51.61%,186,4/13/2026
"1,508","1,184",Tese,SolR,2,50.68%,"1,103",5/8/2026
"1,509","1,184",skate,kages,"'-2",50.16%,"1,270",5/5/2026
"1,510","1,184",null4sys,Tur4n,"'-1",50.61%,407,5/5/2026
"1,511","1,183",L4m,"'-","'-4",57.14%,28,5/2/2026
"1,512","1,183",Oiotosi,"'-",1,49.97%,"5,563",5/5/2026
"1,513","1,183",Hangloose,"'-",1,50.53%,"3,408",5/10/2026
"1,514","1,183",java_the_hut,"'-","'-1",50.59%,"2,730",5/9/2026
"1,515","1,183",_(´ཀ`」 ∠)_,"'-",1,54.76%,84,4/27/2026
"1,516","1,183",tinysurvivor,"'-","'-2",55.22%,67,4/18/2026
"1,517","1,182",Interjecktor,"'-","'-1",55.71%,70,5/2/2026
"1,518","1,182",sergigamito2,"'-",2,50.25%,"2,199",5/9/2026
"1,519","1,182",Tarlian,"'-","'-1",50.84%,834,5/6/2026
"1,520","1,181",FrenchKiss,"'-","'-2",50.27%,"1,506",5/10/2026
"1,521","1,181",legendaryforward,ABABR,"'-1",51.12%,847,5/10/2026
"1,522","1,181",manana,SPRIM,"'-1",56.00%,25,5/7/2026
"1,523","1,180",MR K,"'-","'-3",50.61%,488,5/9/2026
"1,524","1,180",塔防防不住,A0TDE,"'-2",53.44%,131,4/25/2026
"1,525","1,180",AhuraMazda369,"'-",3,72.73%,11,4/20/2026
"1,526","1,180",Cpt.Kira,AMSAR,1,52.12%,307,4/24/2026
"1,527","1,180",herrero85,GGIE,5,52.07%,338,5/2/2026
"1,528","1,180",nogatu,TBONE,2,60.87%,23,4/19/2026
"1,529","1,179",Garja,"'-","'-4",51.39%,144,5/5/2026
"1,530","1,179",Peck,"'-",2,59.57%,47,5/2/2026
"1,531","1,179",SpikeLeeBrown,"'-",1,50.65%,924,5/10/2026
"1,532","1,179",酹江月,老近卫军,"'-2",66.67%,15,5/6/2026
"1,533","1,179",Beyond Gabe4358,"'-","'-1",50.35%,"1,857",5/9/2026
"1,534","1,179",[VCS] Vegetto,ArC,"'-1",50.16%,955,5/7/2026
"1,535","1,178",dyreck,"'-","'-6",51.53%,326,5/8/2026
"1,536","1,178",572910047,好戰分子,2,50.34%,149,4/24/2026
"1,537","1,178",PowerSquared,Attil,"'-8",50.57%,"1,833",5/10/2026
"1,538","1,178",malissimo,GRAL,7,50.31%,"2,254",4/21/2026
"1,539","1,178",Grote Jager,"'-","'-1",51.85%,108,4/26/2026
"1,540","1,178",Marian Argue,"'-",1,51.82%,110,5/10/2026
"1,541","1,177",Eric,"'-","'-3",50.57%,441,5/10/2026
"1,542","1,177",wiseguycem,Tur4n,3,56.06%,66,5/4/2026
"1,543","1,177",逃犯,"'-",3,58.33%,72,4/21/2026
"1,544","1,177",Tukilla2,"'-","'-1",58.33%,36,5/9/2026
"1,545","1,177",SpringSmurf,Śɦřĕƙ,1,52.87%,157,5/9/2026
"1,546","1,177",MythBuster,"'-","'-1",53.85%,65,4/20/2026
"1,547","1,177",Forrest Gump,"'-",1,50.12%,804,4/25/2026
"1,548","1,176",edwardjeracka,"'-","'-3",50.27%,917,5/10/2026
"1,549","1,176",镜,"'-","'-2",51.54%,260,4/18/2026
"1,550","1,176",Gamer,AngGR,"'-4",50.19%,"4,897",5/10/2026
"1,551","1,175",IamKALAMI,輕鬆一下,"'-1",50.00%,26,5/3/2026
"1,552","1,174",AZTEC_2026,GRAL,2,56.14%,57,4/30/2026
"1,553","1,174",SourDSmiz25,"'-","'-5",50.76%,"1,251",5/10/2026
"1,554","1,174",nagaken,"'-","'-1",49.87%,389,5/10/2026
"1,555","1,174",c.bigboss,"'-",1,50.51%,"2,063",5/8/2026
"1,556","1,173",Blixt,FERAS,1,55.87%,179,5/10/2026
"1,557","1,173",Mistyヾ春雨风,"'-","'-3",53.06%,245,4/27/2026
"1,558","1,173",Lord-Titan,"'-","'-5",54.67%,75,4/30/2026
"1,559","1,173",O Mago do Bardo e o Mago,GQJ,4,53.00%,200,5/1/2026
"1,560","1,173",Bad Cat,"'-",1,51.02%,835,5/9/2026
"1,561","1,173",Haitian_Excellence,"'-",2,50.14%,"5,108",5/9/2026
"1,562","1,172",Davidenko,"'-","'-2",70.00%,10,5/10/2026
"1,563","1,172",Amira,R0SE,9,52.04%,761,5/8/2026
"1,564","1,172",Smiley :),"'-",1,51.09%,640,5/8/2026
"1,565","1,172",MacLovin,"'-","'-2",51.27%,"1,336",4/30/2026
"1,566","1,172",AcKazaam,YNWA,"'-2",50.11%,"2,241",5/5/2026
"1,567","1,172",ribeiro.alef2000,"'-","'-2",50.68%,"1,103",5/10/2026
"1,568","1,171",MAREGASUR,"'-",1,50.02%,"2,705",5/10/2026
"1,569","1,171",IWillBack,YLD,1,50.87%,"1,612",5/3/2026
"1,570","1,171",rebelred,"'-","'-2",49.79%,"3,565",5/10/2026
"1,571","1,171",seb20014074,"'-",1,51.26%,911,5/9/2026
"1,572","1,171",SounaT,armag,"'-1",66.67%,12,5/8/2026
"1,573","1,170",Brainless,"'-",2,52.50%,120,4/14/2026
"1,574","1,170",SKINS #*(!)*BRUDNY%JOE*(!)*#,KR2YS,"'-2",54.72%,53,5/10/2026
"1,575","1,170",Vamu,"'-","'-3",52.68%,112,4/25/2026
"1,576","1,169",[Free HK]驫麤なShigu,"'-",5,71.43%,14,5/7/2026
"1,577","1,169",CFVP,UNIBR,"'-1",50.00%,28,5/7/2026
"1,578","1,169",BellytooJelly,"'-","'-2",50.84%,238,5/3/2026
"1,579","1,169",Caesarius,N4MA,"'-1",53.96%,139,4/27/2026
"1,580","1,169",Clément,"'-","'-1",55.17%,29,4/18/2026
"1,581","1,169",Emir Timur,TRDE,2,50.49%,"1,012",5/8/2026
"1,582","1,169",Frijolito,"'-",1,52.17%,92,5/10/2026
"1,583","1,169",Angel-0,"'-","'-4",53.33%,90,4/12/2026
"1,584","1,168",[NCRC] AngellitoX |♥|,"'-",1,52.55%,314,5/7/2026
"1,585","1,168",ibrahimeset,"'-","'-2",52.88%,208,5/10/2026
"1,586","1,168",shloakchopra72,TIGGR,"'-7",51.12%,448,5/10/2026
"1,587","1,168",I Always play Baja,"'-","'-3",51.58%,632,4/24/2026
"1,588","1,168",|-LIN-|,"'-","'-1",52.55%,196,5/7/2026
"1,589","1,168",Husar Baron,HoA50,7,50.49%,"1,434",5/6/2026
"1,590","1,167",chook0,"'-",3,50.09%,"1,166",5/10/2026
