#,ELO,Player,Clan,Streak,Percent,Games,Last game
87,"1,906",SuperNova!,藏经阁遗老,1,51.86%,"5,058",5/10/2026
88,"1,903",aggelos,GMDS,"'-3",50.71%,"8,030",5/10/2026
89,"1,902",abelito_tucachero,TƒD,5,55.63%,577,5/2/2026
90,"1,898",violetlucas19,"'-",4,79.31%,87,5/10/2026
91,"1,895",ComeGetSome,"'-",1,60.07%,298,5/2/2026
92,"1,890",MichaelGT,ANGRA,3,52.95%,"1,643",5/10/2026
93,"1,889",弓箭足轻,"'-",2,53.71%,"1,683",4/22/2026
94,"1,887",FrajolaGT,"'-",3,65.52%,145,4/18/2026
95,"1,886",kerimb1903,"'-","'-2",52.05%,"19,563",4/25/2026
96,"1,885",Kiyan,"'-",4,52.76%,633,5/8/2026
97,"1,876",gigi,WYMAD,2,53.68%,"2,012",5/6/2026
98,"1,876",溥役,MFalc,7,66.01%,153,5/10/2026
99,"1,875",十里山路不換肩,"'-","'-2",65.73%,143,5/9/2026
100,"1,875",叶卡捷琳娜,AOTDE,"'-4",53.13%,"1,645",5/10/2026
101,"1,874",小孟尝,TOP,"'-4",51.84%,"7,166",5/5/2026
102,"1,874",Dustfest,"'-",2,63.89%,144,5/7/2026
103,"1,873",SoldieR,"'-",1,55.73%,"1,143",5/9/2026
104,"1,872",Allahu Akbar!!!..boom..Resign,Sepâh,"'-2",56.85%,496,5/1/2026
105,"1,871",suntovenus,NGDZ,2,50.91%,"3,962",5/6/2026
106,"1,868",saroshare,AOTDE,4,53.59%,"1,659",5/10/2026
107,"1,867",Van,N1LLA,1,60.68%,412,5/5/2026
108,"1,865",彼得大弟,TPG,1,54.31%,"5,146",5/9/2026
109,"1,863",喵德拉贡三代机,"'-","'-2",55.22%,594,5/9/2026
110,"1,861",[AOTDE]炸醬麵world滷蛋汤,"'-","'-1",58.78%,296,5/9/2026
111,"1,860",いらっしゃいませ,"'-",1,53.69%,434,4/27/2026
112,"1,857",srxs,"'-",6,51.27%,"2,565",5/1/2026
113,"1,855",İsveç Kralı,"'-",32,97.92%,48,5/9/2026
114,"1,853",Coffee_24_7,GG10,1,50.18%,"6,614",5/10/2026
115,"1,853",Staryu,"'-","'-1",56.47%,"3,074",5/10/2026
116,"1,852",WHO cares,"'-",1,54.00%,550,4/30/2026
117,"1,851",PatolinoGT,"'-",4,62.32%,207,4/30/2026
118,"1,849",AverageTunaEnjoyer,SNBRO,3,51.95%,"1,384",5/10/2026
119,"1,847",barker,tex,8,53.15%,"1,033",5/7/2026
120,"1,841",帝国海龟王牛逼,"'-",33,82.93%,82,4/16/2026
121,"1,838",Sir Walter Scott,"'-","'-1",53.16%,"2,880",5/10/2026
122,"1,837",Rodriguinho,6MUSK,"'-1",51.88%,"1,276",5/8/2026
123,"1,835",AntiNomy,MFalc,"'-1",53.34%,778,5/10/2026
124,"1,833",Aang,N1LLA,4,54.00%,437,4/17/2026
125,"1,829",Atilla,KEKs,"'-1",57.12%,"3,575",4/19/2026
126,"1,828",胡王,"'-",2,82.89%,76,4/26/2026
127,"1,824",Lumen Ultimum Occidens,"'-",1,81.63%,49,4/24/2026
128,"1,823",Remix♡,N1LLA,4,52.90%,913,4/16/2026
129,"1,823",Nick,ANGRA,3,52.54%,"1,395",5/10/2026
130,"1,822",sharkspeare,"'-",2,52.38%,987,5/10/2026
131,"1,822",Martiskainen,"'-",2,53.70%,"3,946",5/8/2026
132,"1,821",Justsauce,AOTDE,"'-2",58.87%,265,5/8/2026
133,"1,821",HeartUnderBlade,TPG,2,56.36%,621,5/2/2026
134,"1,817",Joabe__,"'-",4,59.49%,390,5/8/2026
135,"1,812",妖刀,AOTDE,3,52.01%,"2,111",5/3/2026
136,"1,811",JlafeT,BRAKK,"'-1",50.64%,"6,597",5/10/2026
137,"1,810",ukrainewarcriminal123,"'-",1,57.04%,419,5/10/2026
138,"1,809",monkey D luffy,NBO,4,57.14%,329,4/15/2026
139,"1,806",easy,BRAKK,1,50.80%,"2,510",5/10/2026
140,"1,805",Cleters,Vets,2,51.27%,"1,377",5/10/2026
141,"1,805",LazarosVas,GMDS,"'-2",51.68%,"4,567",5/2/2026
142,"1,804",ElPadrino,KAIZN,"'-2",51.53%,"4,289",5/10/2026
143,"1,802",ACAXOCHITL,"'-",5,61.06%,208,4/25/2026
144,"1,800",Guatemalo,"'-",5,54.71%,393,5/6/2026
145,"1,800",芋泥脆啵啵,"'-",2,53.44%,"1,830",5/8/2026
